Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701445637,31,,Aggregated,6.800000,0.000000,170,210,270,350,460,530,630,720,760,760,760,160,0,170.0,209.67804779999975,15.489981000001762,759.7496100000001,8049.26875
1701445638,32,,Aggregated,7.000000,0.000000,180,240,280,350,460,550,720,850,1000,1000,1000,169,0,180.0,220.25775456804695,15.489981000001762,1015.7210499999962,8087.3136094674555
1701445639,33,,Aggregated,7.600000,0.000000,180,250,290,350,460,550,720,850,1000,1000,1000,176,0,180.0,221.69952034090875,15.489981000001762,1015.7210499999962,8064.988636363636
1701445640,34,,Aggregated,6.900000,0.000000,180,250,300,360,480,580,720,850,1000,1000,1000,185,0,180.0,226.0797577135134,15.489981000001762,1015.7210499999962,8144.967567567567
1701445641,35,,Aggregated,7.700000,0.000000,180,240,290,350,480,580,720,850,1000,1000,1000,195,0,180.0,225.18162278974316,15.489981000001762,1015.7210499999962,8091.682051282051
1701445642,36,,Aggregated,7.700000,0.000000,180,250,290,350,480,580,720,850,1000,1000,1000,197,0,180.0,225.5131533096443,15.489981000001762,1015.7210499999962,8088.319796954314
1701445643,37,,Aggregated,7.700000,0.000000,190,250,310,370,520,630,790,850,1000,1000,1000,207,0,190.0,241.0530145893714,15.489981000001762,1015.7210499999962,8061.140096618357
1701445644,38,,Aggregated,7.400000,0.000000,190,260,340,400,550,720,850,1000,2100,2100,2100,225,0,190.0,261.47671660444416,15.489981000001762,2095.53170800001,8055.111111111111
1701445645,39,,Aggregated,7.800000,0.000000,190,260,350,400,540,720,850,1000,2100,2100,2100,234,0,190.0,262.8384926623929,15.489981000001762,2095.53170800001,8064.645299145299
1701445646,40,,Aggregated,8.400000,0.000000,190,260,350,400,540,720,850,1000,2100,2100,2100,245,0,190.0,265.21468207755095,15.489981000001762,2095.53170800001,8088.461224489796
1701445647,41,,Aggregated,8.600000,0.000000,200,260,340,400,540,720,840,1000,2100,2100,2100,254,0,190.0,265.4020894251968,15.489981000001762,2095.53170800001,8064.929133858268
1701445648,42,,Aggregated,8.800000,0.000000,190,260,350,400,540,720,840,1000,2100,2100,2100,266,0,190.0,264.18358493233075,15.489981000001762,2095.53170800001,8041.236842105263
1701445649,43,,Aggregated,9.200000,0.000000,190,260,350,400,550,720,840,1000,2100,2100,2100,279,0,190.0,263.1284528458782,15.489981000001762,2095.53170800001,8018.043010752688
1701445650,44,,Aggregated,9.200000,0.000000,190,260,350,400,550,710,840,1000,2100,2100,2100,284,0,190.0,264.98335855281687,15.489981000001762,2095.53170800001,8040.911971830986
1701445651,45,,Aggregated,9.800000,0.000000,190,270,350,400,560,720,870,1200,2100,2100,2100,289,0,190.0,271.1825655640139,15.489981000001762,2095.53170800001,8002.996539792388
1701445652,46,,Aggregated,10.500000,0.000000,200,270,360,430,600,720,930,1200,2100,2100,2100,305,0,200.0,279.6323238721312,15.489981000001762,2095.53170800001,8004.668852459016
1701445653,47,,Aggregated,9.700000,0.000000,200,280,360,400,600,750,930,1200,2100,2100,2100,316,0,200.0,280.1138456518986,15.489981000001762,2095.53170800001,8027.851265822785
1701445654,48,,Aggregated,10.300000,0.000000,200,280,360,400,600,750,930,1200,2100,2100,2100,326,0,200.0,280.9738604079752,15.489981000001762,2095.53170800001,8011.852760736197
1701445655,49,,Aggregated,10.600000,0.000000,200,280,360,400,600,760,930,1200,2100,2100,2100,336,0,200.0,282.230183550595,15.489981000001762,2095.53170800001,8011.357142857143
1701445656,50,,Aggregated,10.600000,0.000000,200,280,360,400,600,770,960,1200,2100,2100,2100,350,0,200.0,283.95769186571397,15.489981000001762,2095.53170800001,7978.9685714285715
1701445657,51,,Aggregated,10.100000,0.000000,210,280,360,410,630,790,930,1200,2100,2100,2100,363,0,210.0,289.2489956060602,15.489981000001762,2095.53170800001,8024.292011019284
1701445658,52,,Aggregated,10.400000,0.000000,200,280,360,410,610,790,930,1200,2100,2100,2100,374,0,200.0,287.6413858743312,15.489981000001762,2095.53170800001,8030.256684491978
1701445659,53,,Aggregated,10.500000,0.000000,200,280,360,410,610,790,930,1200,2100,2100,2100,384,0,200.0,287.70195412760387,15.489981000001762,2095.53170800001,7998.252604166667
1701445660,54,,Aggregated,11.000000,0.000000,210,280,360,410,630,840,960,1200,2100,2100,2100,399,0,210.0,291.79470740350854,15.489981000001762,2095.53170800001,7999.416040100251
1701445661,55,,Aggregated,10.300000,0.000000,210,280,360,410,630,850,960,1000,2100,2100,2100,406,0,210.0,295.2168193866993,15.489981000001762,2095.53170800001,8009.179802955665
1701445662,56,,Aggregated,10.900000,0.000000,210,290,370,410,630,860,960,1000,2100,2100,2100,428,0,210.0,298.7350691144856,15.489981000001762,2095.53170800001,7982.467289719626
1701445663,57,,Aggregated,11.600000,0.000000,210,290,360,410,630,860,960,1000,2100,2100,2100,436,0,210.0,298.07923734632993,15.489981000001762,2095.53170800001,7951.935779816514
1701445664,58,,Aggregated,11.600000,0.000000,220,300,370,430,630,860,990,1200,2100,2100,2100,446,0,220.0,301.43479074439415,15.489981000001762,2095.53170800001,7990.883408071749
1701445665,59,,Aggregated,12.300000,0.000000,230,310,390,460,700,890,1200,1300,2100,2100,2100,463,0,230.0,319.1608024794812,15.489981000001762,2095.53170800001,8002.578833693305
1701445666,60,,Aggregated,11.700000,0.000000,230,310,390,470,710,920,1200,1300,2100,2100,2100,471,0,230.0,324.5586559235663,15.489981000001762,2095.53170800001,8014.770700636943
1701445667,61,,Aggregated,12.100000,0.000000,230,310,400,470,720,930,1200,1300,2100,2100,2100,487,0,230.0,329.50293232443477,15.489981000001762,2095.53170800001,7991.917864476386
1701445668,62,,Aggregated,12.500000,0.000000,230,310,390,470,720,920,1200,1300,2100,2100,2100,501,0,230.0,329.32456059281384,15.489981000001762,2095.53170800001,8027.38123752495
1701445669,63,,Aggregated,12.400000,0.000000,230,310,390,470,720,920,1200,1300,2100,2100,2100,516,0,230.0,329.8030083352708,15.489981000001762,2095.53170800001,8020.821705426357
1701445670,64,,Aggregated,12.400000,0.000000,240,310,390,470,720,920,1200,1300,2100,2100,2100,526,0,240.0,330.465569264258,15.489981000001762,2095.53170800001,8041.648288973384
1701445671,65,,Aggregated,13.600000,0.000000,250,320,400,470,720,930,1200,1300,2100,2100,2100,546,0,250.0,335.24848643589706,15.489981000001762,2095.53170800001,8011.267399267399
1701445672,66,,Aggregated,13.000000,0.000000,250,320,400,480,750,960,1300,1300,2100,2100,2100,563,0,250.0,342.62095237300133,15.489981000001762,2095.53170800001,7991.61811722913
1701445673,67,,Aggregated,13.400000,0.000000,250,320,400,470,750,960,1300,1300,2100,2100,2100,582,0,250.0,343.5453080463912,15.489981000001762,2095.53170800001,8012.48969072165
1701445674,68,,Aggregated,13.700000,0.000000,250,330,400,470,750,960,1300,1300,2100,2100,2100,595,0,250.0,344.06198378319266,15.489981000001762,2095.53170800001,8019.668907563026
1701445675,69,,Aggregated,13.900000,0.000000,250,320,400,470,760,990,1300,1300,2100,2100,2100,606,0,250.0,346.32207728547786,15.489981000001762,2095.53170800001,8015.877887788779
1701445676,70,,Aggregated,14.800000,0.000000,260,330,400,470,770,990,1300,1300,2100,2100,2100,616,0,250.0,348.97310882792146,15.489981000001762,2095.53170800001,7993.823051948052
1701445677,71,,Aggregated,15.000000,0.000000,260,330,400,480,790,1000,1300,1300,2100,2100,2100,630,0,260.0,350.62671628571354,15.489981000001762,2095.53170800001,7966.509523809524
1701445678,72,,Aggregated,14.500000,0.000000,260,330,400,480,810,1000,1300,1300,2100,2100,2100,650,0,260.0,354.66561043230695,15.489981000001762,2095.53170800001,7959.949230769231
1701445679,73,,Aggregated,14.400000,0.000000,260,330,400,480,790,1000,1300,1300,2100,2100,2100,662,0,260.0,353.8138748066458,15.489981000001762,2095.53170800001,7948.06495468278
1701445680,74,,Aggregated,14.900000,0.000000,260,330,400,480,790,1000,1300,1300,2100,2100,2100,672,0,260.0,353.4021978645826,15.489981000001762,2095.53170800001,7928.389880952381
1701445681,75,,Aggregated,14.300000,0.000000,260,330,410,480,790,1000,1300,1300,2100,2100,2100,687,0,260.0,354.4711715181943,15.489981000001762,2095.53170800001,7945.687045123726
1701445682,76,,Aggregated,14.600000,0.000000,270,340,410,480,830,1000,1300,1300,2100,2100,2100,703,0,270.0,360.517228591749,15.489981000001762,2095.53170800001,7930.628733997155
1701445683,77,,Aggregated,14.700000,0.000000,270,350,430,500,850,1000,1300,1400,2100,2100,2100,718,0,270.0,368.45979133286846,15.489981000001762,2095.53170800001,7953.623955431754
1701445684,78,,Aggregated,14.700000,0.000000,270,360,440,510,880,1100,1300,1500,2100,2100,2100,729,0,270.0,376.64792338957403,15.489981000001762,2095.53170800001,7953.268861454047
1701445685,79,,Aggregated,13.900000,0.000000,280,370,460,540,880,1200,1300,1500,2100,2100,2100,744,0,280.0,385.64614943279497,15.489981000001762,2095.53170800001,7916.8494623655915
